_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
69e5aa44b392f0b5c9ec0789,,72.81,95.92,77.41,76.54,364;6;2;0,time,60,,0,60,0,0,false,false,english,,normal,false,false,false,,1776659016028
69e52793b392f0b5c9e8b2bc,,64.4,92.23,73.4,69.19,322;12;4;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776625555000
69e31ccfb392f0b5c9d90b6f,,75.61,97.24,79.21,77.48,378;5;1;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1776491727000
69e1b546b392f0b5c9cc0f77,,73.2,96.65,77.6,75.97,366;9;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776399686000
69e10269b392f0b5c9c5a90d,,66.6,96.66,71.2,72.29,333;3;3;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776353897000
69e04fb4b392f0b5c9be6547,,72.81,98.13,74.61,81.85,364;3;0;1,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1776308148000
69dfbe46b392f0b5c9b94c6e,,65,96.19,66.8,67.01,325;4;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776270918000
69df1902b392f0b5c9b22d92,,67.6,96.4,71.59,70.98,338;6;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776228610000
69de6f92b392f0b5c9ac7daf,,68.19,94.72,74.19,72.2,341;3;4;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776185234000
69dddf3db392f0b5c9a5b9bb,,73.21,95.43,77.61,72.01,366;7;1;1,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1776148285000
69dd1254b392f0b5c99e67a1,,69.21,95.01,75.01,73.21,346;7;1;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1776095828000
69dc7202b392f0b5c997712d,,78.6,99.24,78.6,76.5,393;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1776054786000
69d92264dfef0e30f9ffb593,,74.81,97.67,76.01,72.64,374;0;1;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1775837796000
69d84e72dfef0e30f9f7a1dc,,79.21,98.27,79.21,74.58,396;0;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1775783538000
69d73a45dfef0e30f9ec74a2,,76.81,97.73,78.81,76.9,384;3;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1775712837000
69d5d9cdcd63c6f627e46c7f,,72.6,98.14,74.8,77.66,363;2;0;1,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1775622605000
69d529a9cd63c6f627de5881,,66.6,92.84,75.01,67.64,333;16;1;2,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1775577513000
69ce8d996da55f14678b69ec,,70.61,92.99,74.61,69.72,353;12;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1775144345000
69cdedd06da55f146784f0b9,,69.6,95.49,74.6,69.1,348;8;1;1,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1775103440000
69cbef1f6da55f1467716b05,,75.19,98.5,79.79,73.13,376;3;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774972703000
69cb55296da55f14676ad8a6,,63.21,95.53,71.61,77.52,316;7;1;2,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1774933289000
69ca94a36da55f146763fa19,,73.21,96.9,77.41,73.69,366;8;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774884003000
69ca1dc8da5b4385a0e1c508,,67.2,96.51,74.6,71.67,336;6;1;1,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774853576000
69c96e79da5b4385a0dcce09,,74.6,97.01,80.4,74.98,373;6;0;2,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774808697000
69c8c956da5b4385a0d75fd0,,63.8,92.55,75.19,70.6,319;18;1;2,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774766422000
69c81fa8da5b4385a0d35fad,,81.01,97.89,85.21,78.23,405;6;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1774722984000
69c779e4da5b4385a0cdf135,,68.6,97.32,74.6,72.75,343;5;0;1,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774680548000
69c6b2bbda5b4385a0c80a45,,57.01,93.88,65.21,64.33,285;12;0;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1774629563000
69c61916da5b4385a0c15c15,,67,96.96,72.4,73.63,335;7;0;2,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774590230000
69c49b9cda5b4385a0b2c28a,,68.59,94.88,78.19,70.55,343;9;3;0,time,60,-1,0,60.01,1,0,false,false,english,,normal,false,false,false,,1774492572000
69c3604cda5b4385a0a60f69,true,83,98.17,87.2,79.46,415;4;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1774411852000
69c2279fda5b4385a099a8b9,,75.01,96.95,78.61,77.45,375;8;1;0,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1774331807000
69c09e2eda5b4385a08b2470,,77.21,96.14,83.01,70.11,386;11;0;1,time,60,-1,0,59.99,0,0,false,false,english,,normal,false,false,false,,1774231086000
